id,name,box_art_url,igdb_id
1763263,nanos world,https://static-cdn.jtvnw.net/ttv-boxart/1763263_IGDB-{width}x{height}.jpg,152927
767133634,World of Tanks: HEAT,https://static-cdn.jtvnw.net/ttv-boxart/767133634_IGDB-{width}x{height}.jpg,361890
2060730947,Le Mans Ultimate,https://static-cdn.jtvnw.net/ttv-boxart/2060730947_IGDB-{width}x{height}.jpg,253412
369252,The Sims 4,https://static-cdn.jtvnw.net/ttv-boxart/369252_IGDB-{width}x{height}.jpg,3212
31336,Metin2,https://static-cdn.jtvnw.net/ttv-boxart/31336_IGDB-{width}x{height}.jpg,3119
2009321156,Dark and Darker,https://static-cdn.jtvnw.net/ttv-boxart/2009321156_IGDB-{width}x{height}.jpg,207266
513501,Standoff 2,https://static-cdn.jtvnw.net/ttv-boxart/513501_IGDB-{width}x{height}.jpg,126055
518762,Paralives,https://static-cdn.jtvnw.net/ttv-boxart/518762_IGDB-{width}x{height}.jpg,126547
515214,Politics,https://static-cdn.jtvnw.net/ttv-boxart/515214-{width}x{height}.jpg,
1362102608,REMATCH,https://static-cdn.jtvnw.net/ttv-boxart/1362102608_IGDB-{width}x{height}.jpg,325588
1496435078,Casino Simulator 2024,https://static-cdn.jtvnw.net/ttv-boxart/1496435078_IGDB-{width}x{height}.jpg,300450
1820378900,Resident Evil 4,https://static-cdn.jtvnw.net/ttv-boxart/1820378900_IGDB-{width}x{height}.jpg,132181
1122982998,Dark Souls: Remastered,https://static-cdn.jtvnw.net/ttv-boxart/1122982998_IGDB-{width}x{height}.jpg,81085
1397606945,Indiana Jones and the Great Circle,https://static-cdn.jtvnw.net/ttv-boxart/1397606945_IGDB-{width}x{height}.jpg,142415
20050,Perfect World,https://static-cdn.jtvnw.net/ttv-boxart/20050_IGDB-{width}x{height}.jpg,8747
1470211036,Dave the Diver,https://static-cdn.jtvnw.net/ttv-boxart/1470211036_IGDB-{width}x{height}.jpg,203722
1391915212,The Great Ace Attorney Chronicles,https://static-cdn.jtvnw.net/ttv-boxart/1391915212-{width}x{height}.jpg,
1131336879,Black Russia,https://static-cdn.jtvnw.net/ttv-boxart/1131336879_IGDB-{width}x{height}.jpg,318679
32959,Heroes of the Storm,https://static-cdn.jtvnw.net/ttv-boxart/32959_IGDB-{width}x{height}.jpg,7313
213930085,Honkai: Star Rail,https://static-cdn.jtvnw.net/ttv-boxart/213930085_IGDB-{width}x{height}.jpg,178282
504463,Tom Clancy's The Division 2,https://static-cdn.jtvnw.net/ttv-boxart/504463_IGDB-{width}x{height}.jpg,90099
2124007713,PICO PARK 2,https://static-cdn.jtvnw.net/ttv-boxart/2124007713_IGDB-{width}x{height}.jpg,314933
1630982727,Where Winds Meet,https://static-cdn.jtvnw.net/ttv-boxart/1630982727_IGDB-{width}x{height}.jpg,214414
